"Part";"Value";"Device";"Package";"Description";"BOM";"PROD_ID";"SF_SKU";"VALUE";
"A3";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";"";"";
"A4";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";"";"";
"A5";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"EXCLUDE";"";"";"";
"AUX_DIGITAL1";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"AUX_DIGITAL2";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"AUX_PWM";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"B1";"cr1220";"BATTERYCR1220_2";"CR1220-2";"CR1220 SMT - Digikey: 3001K-ND";"";"";"";"";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C2";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";
"D3";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";
"D4";"MBR120";"DIODE-SCHOTTKYSOD-123";"SOD-123";"";"";"";"";"";
"I2C_AUX2";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"I2C_HUD";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"I2C_OLED";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"IC1";"CP2104";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"";"";"";"";
"IC2";"MCP23008/SO";"MCP23008/SO";"SO18W";"MCP23008";"";"";"";"";
"IC3";"PCF8523T";"RTC_PCF8523T";"SOIC8_150MIL";"";"";"";"";"";
"LASER_DISX1";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"LASER_DISX2";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"LASER_DISX3";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"LASER_DISX4";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"LASER_DISX5";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"LASER_DISX6";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"S4B-PH-SM4_TB";"";"";"";"";"";
"LIMITSWITCH1";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"LIMITSWITCH2";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"PNEUMATIC";"S6B-PH-SM4_TB";"S6B-PH-SM4_TB";"S6B-PH-SM4_TB";"";"";"";"";"";
"Q1";"mmbt2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";"";"";
"Q2";"mmbt2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";"";"";
"Q3";"DMG3415U";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";
"R1";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";
"R3";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R4";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R7";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R10";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R12";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"R13";"10K";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";
"R14";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";
"R15";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";
"R17";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";
"SCLPU";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SDAPU";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";
"SG1";"BUZZER-PTH";"BUZZER-PTH";"BUZZER-12MM";"Buzzer";"";"COMP-08253";"COM-07950";"";
"SJ1";"";"SOLDERJUMPER_CLOSED";"SOLDERJUMPER_CLOSEDWIRE";"Solder Jumper - Closed";"";"";"";"";
"SW2";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";
"TO_ELE_DIS";"S6B-PH-SM4_TB";"S6B-PH-SM4_TB";"S6B-PH-SM4_TB";"";"";"";"";"";
"TO_STM32";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"TO_SUPER_CAP";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"U1";" TCA9548APWR";"TCA9548A";"TSSOP24";"TCA9548A I2C Multiplexer";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";
"X1";"microsd";"MICROSD";"MICROSD";"MicroSD/Transflash Card Holder with SPI pinout";"";"";"";"";
"X2";"ESP32_WROOM32_SKINNY";"ESP32_WROOM32_SKINNY";"WROOM32_SKINNY";"";"";"";"";"";
"X4";"20329";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";"";"";"";
"Y1";"32khz";"CRYSTAL8.0X3.8";"CRYSTAL_8X3.8";"Crystals";"";"";"";"";
